id,text,date,likes,detected_language,tweet,PRODUCT,PLACE,PRICE,PUBLICITY,POSTCONSUMPTION,PURPOSE,PARTNERSHIPS,PEOPLE,PLANET
1902948287058973003,"PEANUTS + STARBUCKS

이렇게 귀여운 마카롱이라니!
#스누피마카롱 #찰리브라운마카롱

입 안 가득 느껴지는 진한 초콜릿 가나슈, 부드러운 바닐라 크림까지!

3월 27일부터 가까운 스타벅스 매장에서 만나보세요. 

#3월27일부터 #스타벅스스누피
#Starbucks #StarbucksKorea #스타벅스 https://t.co/jd7PHM5ePr",Fri Mar 21 05:00:01 +0000 2025,8,ko,"Peanuts + Starbucks

This cute macaroon!
#Snoopy Macaroon #Charlie Brown Macaroon

Dark chocolate Kanashu and soft vanilla cream!

From March 27th, meet at the nearest Starbucks store. 

#Star Buckssupi from March 27th
#Starbucks #starbuckskorea",1,1,0,1,0,0,0,0,0
1899431047382659156,"Conversamos con una trabajadora de Starbucks en huelga, quien nos explica las razones de la movilización y las condiciones laborales que enfrentan.

#Huelga #Starbucks #DerechosLaborales #Trabajadores #Movilización https://t.co/QDaMgJjTNA",Tue Mar 11 12:03:46 +0000 2025,17,es,"We talked with a Starbucks worker on strike, who explains the reasons for the mobilization and the working conditions they face.

#Huelga #Starbucks #Derechroles #Trabajadores #Mobilization https://t.co/qdamgjjtna",1,1,0,1,0,0,0,1,0
1902133288707485945,"Soylatte𖠚ᐝ

#starbucks 
#photo https://t.co/2rlDvmOKRy",Tue Mar 18 23:01:30 +0000 2025,4,en,"Soylatte𖠚ᐝ

#starbucks 
#photo https://t.co/2rlDvmOKRy",1,0,0,0,0,0,0,0,0
1901929250351145424,"リピ多めだったピザトースト🍕美味しかったなぁ🤤
#starbucks https://t.co/ykwoIaWUgU",Tue Mar 18 09:30:44 +0000 2025,16,ja,"Pizza toast was full of replies🍕It was delicious🤤
#starbucks https://t.co/ykwoIaWUgU",1,1,0,0,1,0,0,0,0
1899628351528288580,"今日発売の
春空ミルクコーヒーフラペチーノ…
中のストロベリーボールを
ストローで割って味変するらしいんたけど…これ…
紙のストローじゃ割れないって💦
かなり固いよ…😅
そして飲んだあとに残った、
ストロベリーボール…🤔
 #Starbucks  #スターバックス 
 #春空ミルクコーヒーフラペチーノ https://t.co/J3pKWZQc2C",Wed Mar 12 01:07:47 +0000 2025,124,ja,"Released today
Spring Sky Milk Coffee Frappuccino...
Strawberry ball inside
Apparently it can be split with a straw and change the taste... but... this...
Paper straws won't break
It's pretty hard...😅
And after drinking it, it was left behind
Strawberry ball...🤔
 #Starbucks #Starbucks
 #Spring Sky Milk Coffee Frappuccino https://t.co/J3pKWZQc2C",1,0,0,1,0,0,0,0,0
1900403020279795966,"🇯🇵 รับหิ้วแก้วสตาร์บัค เปลี่ยนสีตามอุณหภูมิ 

✅ ใบละ : 350฿ 

🚛 ค่าส่ง : 40฿ 

สนใจ DM ได้ค่า 

💘 น้องเปลี่ยนสียันหลอดเลยน้า ~ 

🛍️ กลุ่ม &gt;
https://t.co/DXDLV0M4ZX

#หิ้วสตาร์บัค #starbucks https://t.co/ZDVtQIwURo",Fri Mar 14 04:26:02 +0000 2025,2,th,"🇯🇵 Get a Starbucks glass Change color according to the temperature 

✅ per card: 350 ฿ 

🚛 Shipping cost: 40 ฿ 

Interested in DM 

💘 Nong changed the tube ~ 

🛍️ Group & GT;
https://t.co/dxdlv0m4zx

#Starbucks #starbucks https://t.co/zdvtqiwuro",1,1,1,0,0,0,0,0,0
1901085791620907162,"My first time Frappuccino.
Relax time
#Frappuccino
 #Starbucks https://t.co/xKcYoUWkP9",Sun Mar 16 01:39:07 +0000 2025,2,it,"My First Time Frappuccino.
Relax time
#Frappuccino
 #Starbucks https://t.co/xkcyouwkp9",1,1,0,0,1,0,0,0,0
1901639909892657391,"🐻STARBUCKS☕
冷たい🧊飲み物入れると
色が変わるリユーザブル
カップで🧊Ice
#ユズシトラスティー
#パッションに変更
🔴マカロン
美味しく頂きました🐻
#STARBUCKS
#スターバックス　
#スタバ好きな人と繋がりたい https://t.co/OoZARbVqt9",Mon Mar 17 14:20:59 +0000 2025,3,ja,"🐻STARBUCKS☕
It's cold 🧊 When I put in a drink
Reusable color change
In a cup 🧊Ice
#Yuzu Citrusty
Changed to #passion
🔴Macarons
It was delicious 🐻
#STARBUCKS
#Starbucks
#I want to connect with people who like Starbucks https://t.co/OoZARbVqt9",1,1,0,1,0,0,0,1,0
1902644329514172853,"☕089店舗目
【ウィング上大岡店】
★神奈川県69店舗目

京急百貨店直結の駅ビル？ウィング上大岡

エスカレーター登って真ん前にあったのが印象的

飲んだのは…オーツミルクのなにか(記憶力)

 #スタバ
 #スターバックス
 #Starbucks
 #マイストアパスポート https://t.co/ofqlW9CMZg",Thu Mar 20 08:52:12 +0000 2025,5,ja,"☕089th store
[Wing Kamiooka store]
★69th store in Kanagawa Prefecture

A station building directly connected to Keikyu department store? Wing Kamiooka

It was impressive to see that it was right in front of the escalator.

I drank... Something about oat milk (memory)

 #Starva
 #Starbucks
 #Starbucks
 #My Store Passport https://t.co/ofqlW9CMZg",1,1,0,0,0,0,0,0,0
1901152155698164106,"手書きタッチのパッケージが可愛い。　
豆ではなく、花が主役のコーヒータイムです。
#starbucks #sakura https://t.co/DKSq3c81EQ",Sun Mar 16 06:02:50 +0000 2025,2,ja,"The hand-painted packaging is cute.　
This is coffee time, with flowers as the main focus, not beans.
#starbucks #sakura https://t.co/DKSq3c81EQ",1,1,0,0,0,0,0,1,0
